,Species,Country.of.Origin,Region,Harvest.Year,Variety,Processing.Method,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_mean_meters,Total.Cup.Points
21,Arabica,Costa Rica,san ramon,2014,Caturra,Washed / Wet,0,0.0,Green,2,1300.0,8.0
22,Arabica,Mexico,xalapa,2012,Other,Washed / Wet,0,0.0,Green,0,1320.0,8.0
23,Arabica,United States,antioquia,2014,Other,Washed / Wet,0,0.0,Green,0,2112.0,8.0
24,Arabica,Ethiopia,sidamo,2013,Caturra,Natural / Dry,0,0.0,Bluish-Green,1,1775.0305449954915,8.0
25,Arabica,Brazil,south of minas,2011,Bourbon,Natural / Dry,0,0.0,Green,2,1250.0,8.0
26,Arabica,Ethiopia,sidamo,2010,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
27,Arabica,Uganda,kapchorwa eastern,2013,SL14,Washed / Wet,0,0.0,Green,1,1950.0,8.0
28,Arabica,Honduras,comayagua,2016,Caturra,Washed / Wet,0,0.0,Green,3,1400.0,8.0
29,Arabica,Taiwan,"leye, alishan township, chiayi county",2015,Sumatra,Pulped natural / honey,0,0.0,Green,0,1200.0,8.0
30,Arabica,Nicaragua,huila,2012,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
31,Arabica,"Tanzania, United Republic Of",huila,2012,Caturra,Natural / Dry,0,0.0,Bluish-Green,1,1775.0305449954915,8.0
32,Arabica,Brazil,vale da grama,2011,Bourbon,Natural / Dry,0,0.0,Green,2,1300.0,8.0
33,Arabica,Costa Rica,west and central valley,2016,Caturra,Washed / Wet,0,0.0,Blue-Green,0,1300.0,8.0
34,Arabica,Ethiopia,oromia,2014,Caturra,Natural / Dry,0,0.0,Green,3,1775.0,8.0
35,Arabica,Kenya,muranga,2013,SL34,Washed / Wet,0,0.0,Blue-Green,1,1800.0,8.0
36,Arabica,United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,1,0.0,Green,4,1775.0305449954915,8.0
37,Arabica,United States (Hawaii),kona,2010,Caturra,Washed / Wet,2,0.0,Green,1,1775.0305449954915,8.0
38,Arabica,Ethiopia,yirgacheffe,2010,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
39,Arabica,United States,antioquia,2014,Other,Washed / Wet,0,0.0,Green,0,1941.0,8.0
40,Arabica,Thailand,chiang rai,2012,Caturra,Washed / Wet,1,0.0,Green,9,1300.0,8.0
41,Arabica,Brazil,sul de minas - carmo de minas,2010,Yellow Bourbon,Washed / Wet,0,0.0,Green,2,12.0,8.0
42,Arabica,Brazil,sul de minas - carmo de minas,2010,Yellow Bourbon,Washed / Wet,0,0.0,Green,3,12.0,8.0
43,Arabica,Taiwan,natou county,2015,Bourbon,Semi-washed / Semi-pulped,0,0.0,Green,0,1000.0,8.0
44,Arabica,Kenya,nyeri,2014,SL28,Natural / Dry,0,0.0,Bluish-Green,2,1754.0,8.0
45,Arabica,Brazil,south of minas,2011,Bourbon,Semi-washed / Semi-pulped,0,0.0,Blue-Green,2,1250.0,8.0
46,Arabica,Uganda,eastern uganda,2014,Caturra,Semi-washed / Semi-pulped,0,0.0,Green,0,1775.0305449954915,8.0
47,Arabica,Colombia,tolima,2013,Caturra,Washed / Wet,1,0.0,Green,1,1200.0,8.0
48,Arabica,Kenya,kiambu,2013,SL28,Washed / Wet,0,0.0,Green,1,1860.0,8.0
49,Arabica,Uganda,"sipi, mt elgon",2012,Other,Washed / Wet,0,0.0,Blue-Green,0,1650.0,8.0
50,Arabica,Ethiopia,sidamo,2010,Caturra,Washed / Wet,0,0.0,Green,4,1750.0,8.0
51,Arabica,United States (Hawaii),kona,2009,Caturra,Washed / Wet,0,0.0,Green,0,426.72,8.0
52,Arabica,Guatemala,nuevo oriente,2016,Bourbon,Washed / Wet,0,1.0,Green,3,1775.0305449954915,8.0
53,Arabica,Uganda,eastern,2013,SL14,Natural / Dry,0,0.0,Green,0,1650.0,8.0
54,Arabica,Colombia,huila,2013,Caturra,Washed / Wet,1,0.0,Blue-Green,0,1800.0,8.0
55,Arabica,Panama,boquete,2017,Gesha,Washed / Wet,0,1.0,Bluish-Green,0,1600.0,8.0
56,Arabica,Ethiopia,oromia,2014,Caturra,Washed / Wet,0,0.0,Green,4,1900.0,8.0
57,Arabica,Guatemala,acatenango,2012,Bourbon,Washed / Wet,0,0.0,Green,3,1524.0,8.0
58,Arabica,Guatemala,nuevo oriente,2012,Catuai,Washed / Wet,0,0.0,Bluish-Green,1,1417.32,8.0
59,Arabica,Ethiopia,addis ababa,2017,Caturra,Natural / Dry,0,4.0,Green,7,1775.0305449954915,8.0
60,Arabica,Peru,cajamarca,2013,Caturra,Washed / Wet,4,0.0,Green,6,1775.0305449954915,8.0
61,Arabica,Papua New Guinea,eastern highlands province,2012,Caturra,Washed / Wet,0,0.0,Bluish-Green,1,1700.0,8.0
62,Arabica,El Salvador,apaneca,2013,Bourbon,Washed / Wet,0,0.0,Blue-Green,3,1500.0,8.0
63,Arabica,El Salvador,"ataco, apaneca - ilamatepec mountain range",2012,Bourbon,Semi-washed / Semi-pulped,0,0.0,Green,0,1350.0,8.0
64,Arabica,United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,0,0.0,Green,1,1775.0305449954915,8.0
65,Arabica,Panama,boquete,2014,Caturra,Natural / Dry,2,0.0,Green,2,1680.0,8.0
66,Arabica,Kenya,kirinyaga,2014,SL28,Natural / Dry,0,0.0,Green,3,1900.0,8.0
67,Arabica,Ethiopia,oromia,2015,Other,Natural / Dry,0,0.0,Green,7,1900.0,8.0
68,Arabica,Uganda,bulambuli eastern region,2013,SL14,Washed / Wet,0,0.0,Green,1,1600.0,8.0
69,Arabica,Guatemala,huehuetenango,2013,Bourbon,Washed / Wet,0,0.0,Green,1,1731.264,8.0
70,Arabica,Ethiopia,oromia,2015,Caturra,Washed / Wet,0,0.0,Green,18,1900.0,8.0
71,Arabica,Uganda,kapchorwa,2013,SL14,Washed / Wet,0,0.0,Green,5,1950.0,8.0
72,Arabica,United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,4,0.0,Green,6,1775.0305449954915,8.0
73,Arabica,Brazil,south of minas,2011,Bourbon,Semi-washed / Semi-pulped,0,0.0,Blue-Green,1,1250.0,8.0
74,Arabica,El Salvador,apaneca,2010,Caturra,Washed / Wet,0,0.0,Green,0,1400.0,8.0
75,Arabica,China,yunnan,2015,Catimor,Natural / Dry,0,0.0,Green,0,1700.0,8.0
76,Arabica,Guatemala,huehuetenango,2014,Pacamara,Natural / Dry,0,0.0,Green,1,1770.0,8.0
77,Arabica,Costa Rica,west valley,2014,Caturra,Washed / Wet,0,0.0,Bluish-Green,0,1300.0,8.0
78,Arabica,Costa Rica,san ramon,2014,Caturra,Washed / Wet,0,0.0,Bluish-Green,2,1300.0,8.0
79,Arabica,Kenya,central kenya,2012,SL34,Washed / Wet,0,0.0,Green,2,1600.0,8.0
80,Arabica,Kenya,central kenya,2012,SL34,Washed / Wet,0,0.0,Green,6,1200.0,8.0
81,Arabica,Ethiopia,yirgacheffe,2010,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
82,Arabica,Ethiopia,yirgacheffe,2010,Typica,Washed / Wet,0,0.0,Green,3,1775.0305449954915,8.0
83,Arabica,Guatemala,oriente,2016,Bourbon,Washed / Wet,0,2.0,Green,2,1775.0305449954915,8.0
84,Arabica,Colombia,santander,2015,Caturra,Washed / Wet,0,0.0,Green,0,1550.0,8.0
85,Arabica,Colombia,santander,2014,Caturra,Natural / Dry,0,0.0,Green,2,1550.0,8.0
86,Arabica,Indonesia,lintong,2012,Sumatra Lintong,Semi-washed / Semi-pulped,0,0.0,Green,3,1325.0,8.0
87,Arabica,Guatemala,huehuetenango,2012,Caturra,Washed / Wet,0,0.0,Green,7,1400.0,8.0
88,Arabica,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",2016,Other,Natural / Dry,0,1.0,Green,8,1775.0305449954915,8.0
89,Arabica,Colombia,pasto,2015,Caturra,Natural / Dry,0,0.0,Green,0,2560.0,8.0
90,Arabica,Ethiopia,aricha,2014,Caturra,Natural / Dry,2,0.0,Green,7,1700.0,8.0
91,Arabica,United States (Hawaii),kona,2014,Hawaiian Kona,Natural / Dry,2,0.0,Bluish-Green,2,1775.0305449954915,8.0
92,Arabica,Colombia,cundinamarca,2012,Caturra,Natural / Dry,0,0.0,Green,8,2136.0,8.0
93,Arabica,United States (Hawaii),kona,2011,Caturra,Washed / Wet,1,0.0,Green,7,1775.0305449954915,8.0
94,Arabica,Ethiopia,sidamo,2010,Caturra,Washed / Wet,0,0.0,Green,5,1775.0305449954915,8.0
95,Arabica,United States (Hawaii),kona,2012,Caturra,Washed / Wet,0,0.0,Green,0,1775.0305449954915,8.0
96,Arabica,Uganda,eastern uganda,2016,SL14,Washed / Wet,0,0.0,Green,1,1800.0,8.0
97,Arabica,Colombia,huila,2016,Caturra,Washed / Wet,0,0.0,Green,3,1775.0305449954915,8.0
98,Arabica,Costa Rica,tarrazu,2016,Catuai,Washed / Wet,1,1.0,Green,1,1900.0,8.0
99,Arabica,Mexico,veracruz,2015,Typica,Washed / Wet,0,0.0,Green,3,1300.0,8.0
100,Arabica,Kenya,huila,2015,Caturra,Washed / Wet,0,5.0,Green,7,1.0,8.0
101,Arabica,Kenya,central kenya,2012,SL34,Washed / Wet,0,0.0,Green,5,1580.0,8.0
102,Arabica,Brazil,grama valley,2012,Mundo Novo,Natural / Dry,0,0.0,Green,3,1100.0,8.0
103,Arabica,Mexico,mexico,2011,Pacamara,Washed / Wet,0,0.0,Green,0,1400.0,8.0
104,Arabica,United States (Hawaii),kona,2012,Caturra,Washed / Wet,0,0.0,Green,1,1775.0305449954915,8.0
105,Arabica,Guatemala,"chuva, san marcos",2010,Caturra,Washed / Wet,0,0.0,Green,1,1325.88,8.0
106,Arabica,Colombia,huila,2016,Caturra,Washed / Wet,1,6.0,Green,2,1775.0305449954915,8.0
107,Arabica,Colombia,huila,2015,Caturra,Washed / Wet,0,0.0,Green,1,1775.0,8.0
108,Arabica,Taiwan,natou county,2015,Typica,Semi-washed / Semi-pulped,0,0.0,Green,0,800.0,8.0
109,Arabica,"Tanzania, United Republic Of",mbeya,2014,Other,Washed / Wet,0,0.0,Green,2,1620.0,8.0
110,Arabica,Colombia,huila,2012,Caturra,Washed / Wet,0,0.0,Green,3,1775.0,8.0
111,Arabica,Mexico,coatepec,2012,Typica,Semi-washed / Semi-pulped,0,0.0,Green,0,1200.0,8.0
112,Arabica,Brazil,south of minas,2011,Bourbon,Natural / Dry,0,0.0,Green,2,1200.0,8.0
113,Arabica,Brazil,south of minas,2011,Catuai,Natural / Dry,0,0.0,Green,2,1000.0,8.0
114,Arabica,Kenya,huila,2010,Caturra,Washed / Wet,1,0.0,Green,9,1775.0305449954915,8.0
115,Arabica,Taiwan,"dongshan dist., tainan city 臺南市東山區",2016,Typica,Natural / Dry,0,0.0,Green,0,350.0,8.0
116,Arabica,Uganda,eastern,2013,SL14,Natural / Dry,0,0.0,Green,1,1650.0,8.0
117,Arabica,United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,3,0.0,Green,15,1775.0305449954915,8.0
118,Arabica,Ethiopia,sidamo,2010,Caturra,Washed / Wet,0,0.0,Green,2,1750.0,8.0
119,Arabica,Ethiopia,sidamo,2010,Caturra,Washed / Wet,0,0.0,Green,4,1750.0,8.0
120,Arabica,Thailand,thailand,2015,Caturra,Pulped natural / honey,0,0.0,Green,0,1775.0305449954915,8.0
121,Arabica,Kenya,nyeri,2014,SL34,Washed / Wet,0,0.0,Green,0,1800.0,8.0
122,Arabica,Honduras,marcala,2014,Catuai,Washed / Wet,0,0.0,Green,4,1450.0,8.0
123,Arabica,El Salvador,santa ana,2011,Caturra,Washed / Wet,0,0.0,Green,3,1200.0,8.0
124,Arabica,Nicaragua,jinotega,2010,Caturra,Washed / Wet,0,0.0,Green,2,925.0,8.0
125,Arabica,El Salvador,apaneca,2016,Bourbon,Washed / Wet,0,0.0,Blue-Green,2,1350.0,8.0
126,Arabica,Indonesia,"temanggung, indonesia",2016,Java,Washed / Wet,0,0.0,Green,7,1200.0,8.0
127,Arabica,Japan,ada okinawa japan,2012,Mundo Novo,Pulped natural / honey,0,0.0,Green,0,170.0,8.0
128,Arabica,Costa Rica,tarrazu,2015,Catuai,Washed / Wet,0,0.0,Blue-Green,2,1150.0,8.0
129,Arabica,Guatemala,acatenango,2015,Bourbon,Washed / Wet,0,0.0,Green,1,1600.0,8.0
130,Arabica,Costa Rica,tarrazu,2014,Caturra,Washed / Wet,0,0.0,Green,0,1750.0,8.0
131,Arabica,Ethiopia,yirgacheffe,2014,Ethiopian Yirgacheffe,Washed / Wet,0,0.0,Green,3,1900.0,8.0
132,Arabica,Costa Rica,costa rica,2014,Other,Other,0,0.0,Green,1,1750.0,8.0
133,Arabica,Costa Rica,west valley,2014,Catuai,Washed / Wet,0,0.0,Green,4,1200.0,8.0
134,Arabica,Costa Rica,huila,2012,Caturra,Washed / Wet,1,0.0,Green,10,1775.0305449954915,8.0
135,Arabica,Taiwan,taichung xinshe 台中市新社區,2014,Typica,Washed / Wet,0,0.0,Green,0,1000.0,8.0
136,Arabica,Colombia,santander,2013,Caturra,Washed / Wet,0,0.0,Green,0,1550.0,8.0
137,Arabica,Kenya,nyeri,2012,SL28,Washed / Wet,0,0.0,Bluish-Green,0,2000.0,8.0
138,Arabica,Guatemala,oriente,2012,Bourbon,Washed / Wet,0,0.0,Green,4,1310.64,8.0
139,Arabica,Guatemala,acatenango,2012,Bourbon,Washed / Wet,0,0.0,Green,4,1524.0,8.0
140,Arabica,Mexico,el remudadero,2012,Typica,Washed / Wet,0,0.0,Green,3,1200.0,8.0
141,Arabica,Uganda,mbale,2012,Other,Washed / Wet,0,0.0,Blue-Green,3,1775.0,8.0
142,Arabica,Peru,"penachi, cecanor",2012,Caturra,Washed / Wet,0,0.0,Green,3,1775.0305449954915,8.0
143,Arabica,Ethiopia,sidamo,2010,Caturra,Washed / Wet,0,0.0,Green,3,1750.0,8.0
144,Arabica,Kenya,nyeri,2012,SL34,Washed / Wet,0,0.0,Blue-Green,5,1754.0,8.0
145,Arabica,Colombia,santander,2016,Other,Washed / Wet,0,0.0,Blue-Green,4,1500.0,8.0
146,Arabica,Colombia,huila,2016,Caturra,Washed / Wet,0,1.0,Green,5,1775.0305449954915,8.0
147,Arabica,Kenya,nyeri,2013,Peaberry,Washed / Wet,0,0.0,Bluish-Green,2,1800.0,8.0
148,Arabica,Guatemala,jalapa,2014,Pacas,Washed / Wet,0,0.0,Green,1,1524.0,8.0
149,Arabica,Guatemala,oriente,2014,Bourbon,Washed / Wet,0,0.0,Green,0,1219.2,8.0
150,Arabica,Colombia,santander,2013,Caturra,Washed / Wet,0,0.0,Green,0,1550.0,8.0
151,Arabica,Colombia,huila,2013,Caturra,Washed / Wet,0,0.0,Green,5,1750.0,8.0
152,Arabica,Kenya,huila,2013,SL28,Washed / Wet,0,0.0,Green,0,1775.0305449954915,8.0
153,Arabica,Colombia,huila,2012,Caturra,Washed / Wet,0,0.0,Green,2,1750.0,8.0
154,Arabica,Costa Rica,tres rios,2012,Bourbon,Semi-washed / Semi-pulped,0,0.0,Bluish-Green,2,1575.0,8.0
155,Arabica,Colombia,huila,2012,Caturra,Washed / Wet,0,0.0,Green,6,1800.0,8.0
156,Arabica,Brazil,vale da grama,2011,Bourbon,Semi-washed / Semi-pulped,0,0.0,Green,2,1300.0,8.0
157,Arabica,Brazil,mountains of minas gerais,2011,Catuai,Semi-washed / Semi-pulped,0,0.0,Blue-Green,1,1100.0,8.0
158,Arabica,Costa Rica,valle central,2018,Caturra,Washed / Wet,0,0.0,Bluish-Green,2,1200.0,8.0
159,Arabica,Uganda,eastern uganda,2016,SL14,Washed / Wet,0,0.0,Green,1,1750.0,8.0
160,Arabica,China,yunnan,2015,Catimor,Washed / Wet,0,0.0,Green,1,1680.0,8.0
161,Arabica,Costa Rica,tarrazu,2014,Caturra,Washed / Wet,0,0.0,Green,0,1700.0,8.0
162,Arabica,Colombia,cauca,2016,Other,Washed / Wet,1,0.0,Green,0,1800.0,8.0
163,Arabica,China,yunnan,2013,Other,Washed / Wet,0,0.0,Green,2,1100.0,8.0
164,Arabica,Guatemala,oriente,2013,Bourbon,Washed / Wet,0,0.0,Green,2,1310.64,8.0
165,Arabica,Kenya,nyeri,2012,SL28,Washed / Wet,0,0.0,Blue-Green,0,2000.0,8.0
166,Arabica,Mexico,hustusco,2012,Typica,Washed / Wet,0,0.0,Green,0,1350.0,8.0
167,Arabica,Mexico,jaltenango,2012,Typica,Washed / Wet,0,0.0,Green,4,1500.0,8.0
168,Arabica,Guatemala,"el tumbador, san marcos",2012,Bourbon,Washed / Wet,0,0.0,Green,2,1775.0305449954915,8.0
169,Arabica,Brazil,mmm,2012,Caturra,Washed / Wet,0,0.0,Green,4,1775.0305449954915,8.0
170,Arabica,Brazil,test,2012,Caturra,Washed / Wet,2,0.0,Green,0,1775.0305449954915,8.0
171,Arabica,Costa Rica,tarrazu,2016,Caturra,Washed / Wet,0,0.0,Blue-Green,3,1300.0,7.0
172,Arabica,Indonesia,sumatra brastagi,2017,Mandheling,Other,0,0.0,Blue-Green,3,1400.0,7.0
173,Arabica,Colombia,pitalito,2016,Caturra,Natural / Dry,0,0.0,Green,1,1775.0305449954915,7.0
174,Arabica,Colombia,huila,2014,Caturra,Washed / Wet,0,0.0,Green,3,1775.0,7.0
175,Arabica,Taiwan,"mountain ali, taiwan",2012,Typica,Washed / Wet,0,0.0,Blue-Green,0,1200.0,7.0
176,Arabica,United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,0,0.0,Blue-Green,1,1775.0305449954915,7.0
177,Arabica,Mexico,tapachula,2012,Pacamara,Washed / Wet,2,0.0,Green,4,900.0,7.0
178,Arabica,Ethiopia,limu,2010,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,7.0
179,Arabica,Kenya,nyeri,2018,SL28,Washed / Wet,0,0.0,Green,4,1800.0,7.0
180,Arabica,Honduras,comayagua,2016,Caturra,Washed / Wet,0,0.0,Green,3,1500.0,7.0
181,Arabica,Colombia,huila,2016,Caturra,Washed / Wet,0,3.0,Green,5,1775.0305449954915,7.0
182,Arabica,Honduras,central region,2016,Catuai,Washed / Wet,0,1.0,Green,2,1500.0,7.0
183,Arabica,Colombia,la plata,2016,Caturra,Washed / Wet,0,2.0,Green,4,1775.0305449954915,7.0
184,Arabica,Colombia,huila,2015,Caturra,Natural / Dry,6,0.0,Green,0,442.0,7.0
185,Arabica,Colombia,huila,2013,Caturra,Washed / Wet,0,0.0,Green,0,1800.0,7.0
186,Arabica,Mexico,tuxtla gutierrez,2012,Typica,Washed / Wet,0,0.0,Blue-Green,1,1700.0,7.0
187,Arabica,Brazil,vale da grama,2011,Yellow Bourbon,Washed / Wet,0,0.0,Green,4,1275.0,7.0
188,Arabica,Brazil,south of minas,2011,Caturra,Washed / Wet,0,0.0,Green,2,1050.0,7.0
189,Arabica,Ethiopia,limu,2012,Caturra,Washed / Wet,0,0.0,Green,1,1493.52,7.0
190,Arabica,Guatemala,nuevo oriente,2010,Caturra,Washed / Wet,1,0.0,Green,1,1386.84,7.0
191,Arabica,Taiwan,國姓鄉 guoshing township,2016,Typica,Washed / Wet,0,0.0,Blue-Green,0,1000.0,7.0
192,Arabica,Thailand,chiang rai thailand,2015,Catimor,Natural / Dry,0,0.0,Green,0,1200.0,7.0
193,Arabica,Colombia,nariño,2016,Caturra,Natural / Dry,0,0.0,Green,2,2560.0,7.0
194,Arabica,Guatemala,antigua,2016,Caturra,Washed / Wet,0,4.0,Green,4,1500.0,7.0
195,Arabica,Guatemala,huehuetenango,2015,Caturra,Washed / Wet,0,0.0,Green,1,1099.4136,7.0
196,Arabica,China,yunnan,2015,Catimor,Natural / Dry,0,0.0,Green,1,1400.0,7.0
197,Arabica,Colombia,huila,2015,Caturra,Washed / Wet,0,0.0,Green,3,1775.0,7.0
198,Arabica,Colombia,huila,2015,Caturra,Washed / Wet,4,0.0,Green,2,1775.0,7.0
199,Arabica,Colombia,cauca,2016,Other,Washed / Wet,0,0.0,Green,0,1800.0,7.0
200,Arabica,Colombia,huila,2015,Caturra,Natural / Dry,3,0.0,Green,0,442.0,7.0
201,Arabica,"Tanzania, United Republic Of",shizingo village,2014,Other,Washed / Wet,0,0.0,Green,7,1620.0,7.0
202,Arabica,"Tanzania, United Republic Of",mbeya,2014,Other,Washed / Wet,0,0.0,Green,2,1600.0,7.0
203,Arabica,Guatemala,oriente,2014,Bourbon,Other,0,0.0,Green,1,1219.2,7.0
204,Arabica,Colombia,cauca,2013,Caturra,Washed / Wet,0,0.0,Green,2,1700.0,7.0
205,Arabica,United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,1,0.0,Bluish-Green,1,1775.0305449954915,7.0
206,Arabica,Mexico,san pedro cotzilnam,2012,Typica,Semi-washed / Semi-pulped,0,0.0,Green,1,1450.0,7.0
207,Arabica,Mexico,veracruz,2012,Bourbon,Washed / Wet,0,0.0,Green,0,1170.0,7.0
208,Arabica,Mexico,"la concordia, chiapas",2012,Bourbon,Washed / Wet,0,0.0,Bluish-Green,4,1400.0,7.0
209,Arabica,Uganda,kasese,2012,Other,Natural / Dry,4,0.0,Green,29,1700.0,7.0
210,Arabica,Guatemala,san marcos,2017,Bourbon,Washed / Wet,0,0.0,Green,1,1700.0,7.0
211,Arabica,Colombia,huila,2016,Caturra,Washed / Wet,0,0.0,Green,2,1775.0305449954915,7.0
212,Arabica,Costa Rica,tarrazu,2016,Caturra,Washed / Wet,0,0.0,Bluish-Green,2,1700.0,7.0
213,Arabica,Guatemala,huehuetenango,2016,Caturra,Washed / Wet,0,0.0,Green,6,1116.7872,7.0
214,Arabica,Guatemala,solola,2016,Caturra,Washed / Wet,0,1.0,Green,10,1565.0,7.0
215,Arabica,Guatemala,norte,2016,Bourbon,Washed / Wet,0,0.0,Green,2,3280.0,7.0
216,Arabica,Colombia,huila,2015,Caturra,Washed / Wet,0,0.0,Bluish-Green,0,1775.0,7.0
217,Arabica,Nicaragua,jinotega,2015,Caturra,Natural / Dry,0,0.0,Bluish-Green,0,1000.0,7.0
218,Arabica,Brazil,cerrado,2015,Catuai,Natural / Dry,0,0.0,Green,16,1150.0,7.0
219,Arabica,Costa Rica,tarrazu,2014,Caturra,Washed / Wet,0,0.0,Blue-Green,0,1850.0,7.0
220,Arabica,Ethiopia,snnprg; kafa; telo woreda; shada kebele,2014,Gesha,Natural / Dry,0,0.0,Green,5,1606.5,7.0
221,Arabica,"Tanzania, United Republic Of",arusha,2014,Other,Washed / Wet,0,0.0,Green,0,1400.0,7.0
222,Arabica,Colombia,huila,2015,Other,Washed / Wet,0,0.0,Green,4,1530.0,7.0
223,Arabica,Guatemala,huila,2013,Caturra,Washed / Wet,0,0.0,Bluish-Green,0,1775.0305449954915,7.0
224,Arabica,Kenya,kenya,2013,SL28,Washed / Wet,0,0.0,Green,0,250.5,7.0
225,Arabica,Brazil,"minas gerais, br",2012,Mundo Novo,Natural / Dry,0,0.0,Green,3,1038.5,7.0
226,Arabica,Guatemala,oriente,2013,Bourbon,Washed / Wet,0,0.0,Green,4,1310.64,7.0
227,Arabica,El Salvador,apaneca,2013,Bourbon,Natural / Dry,0,0.0,Bluish-Green,2,1500.0,7.0
228,Arabica,Colombia,huila,2012,Caturra,Washed / Wet,0,0.0,Green,2,1750.0,7.0
229,Arabica,Guatemala,guatemala,2012,Catuai,Natural / Dry,0,0.0,Bluish-Green,2,1775.0305449954915,7.0
230,Arabica,Uganda,mt. rwenzori,2012,Other,Washed / Wet,0,0.0,Green,1,1600.0,7.0
231,Arabica,Indonesia,aceh tengah,2017,Mandheling,Natural / Dry,0,0.0,Bluish-Green,0,1775.0305449954915,7.0
232,Arabica,Colombia,huila,2018,Caturra,Washed / Wet,1,3.0,Green,3,442.0,7.0
233,Arabica,Taiwan,"nanxi dist., tainan city 臺南市楠西區",2016,Typica,Washed / Wet,0,0.0,Bluish-Green,4,968.0,7.0
234,Arabica,Guatemala,oriente,2016,Bourbon,Washed / Wet,0,0.0,Green,4,1775.0305449954915,7.0
235,Arabica,Colombia,huila,2014,Caturra,Washed / Wet,0,0.0,Green,2,1775.0,7.0
236,Arabica,Guatemala,"aldea xeucalvitz, ixil region, quiche department",2014,Bourbon,Washed / Wet,0,0.0,Bluish-Green,10,1550.0,7.0
237,Arabica,United States (Hawaii),kona,2012,Hawaiian Kona,Natural / Dry,1,0.0,Green,9,1775.0305449954915,7.0
238,Arabica,Mexico,santo domingo cacalotepec,2012,Typica,Washed / Wet,1,0.0,Green,10,1480.0,7.0
239,Arabica,Ethiopia,"ethiopia, sidamo",2012,Other,Natural / Dry,0,0.0,Green,15,1800.0,7.0
240,Arabica,Costa Rica,huila,2017,Caturra,Washed / Wet,1,2.0,Green,13,1775.0305449954915,7.0
241,Arabica,Ethiopia,sidamo,2017,Gesha,Natural / Dry,3,11.0,Green,1,1800.0,7.0
242,Arabica,Honduras,comayagua,2017,Caturra,Washed / Wet,0,0.0,Green,5,1500.0,7.0
